,N,T,cf,reward,method,zcoef,seed
0,100,10,0.0,-0.7257628854671415,random,1,1
0,100,10,0.7162299999999999,4.1485724021210455,full,1,1
0,100,10,0.23614000000000002,3.654008832049133,unaware,1,1
0,100,10,0.01893,2.644052124771984,ours,1,1
0,100,10,0.0,-0.6377256411933895,random,1,2
0,100,10,0.67641,4.30513029554498,full,1,2
0,100,10,0.30438,4.032803040003629,unaware,1,2
0,100,10,0.007389999999999999,-1.1550475954305037,ours,1,2
0,100,10,0.0,-0.814584590691007,random,1,3
0,100,10,0.52452,4.237257508627026,full,1,3
0,100,10,0.42203999999999997,4.178149957447843,unaware,1,3
0,100,10,0.07109,3.0543226145927034,ours,1,3
0,100,10,0.0,-0.6224116369521926,random,1,4
0,100,10,0.48124,4.426393263507479,full,1,4
0,100,10,0.42286,4.386031473001043,unaware,1,4
0,100,10,0.13430000000000003,3.8977385960194932,ours,1,4
0,100,10,0.0,-0.6572637670467862,random,1,5
0,100,10,0.48108000000000006,4.312942074364152,full,1,5
0,100,10,0.42128999999999994,4.303878963315561,unaware,1,5
0,100,10,0.09355,3.1506754916764605,ours,1,5
0,100,10,0.0,-0.9005136712283007,random,1,6
0,100,10,0.6089600000000001,3.9625564289463426,full,1,6
0,100,10,0.46572,4.088574357867359,unaware,1,6
0,100,10,0.10574000000000001,-2.197099415164022,ours,1,6
0,100,10,0.0,-0.7982986329219911,random,1,7
0,100,10,0.46451999999999993,4.272953841981057,full,1,7
0,100,10,0.4550199999999999,4.249885789558228,unaware,1,7
0,100,10,0.09974000000000001,3.0031892866657737,ours,1,7
0,100,10,0.0,-0.7367505882242817,random,1,8
0,100,10,0.62373,4.256467629377748,full,1,8
0,100,10,0.39315999999999995,4.173891127481719,unaware,1,8
0,100,10,0.0,2.2609954783415636,ours,1,8
0,100,10,0.0,-0.792604992178194,random,1,9
0,100,10,0.5761499999999999,4.216508893787248,full,1,9
0,100,10,0.30938,3.876421114485823,unaware,1,9
0,100,10,0.11927000000000001,2.7856494182130946,ours,1,9
0,100,10,0.0,-0.7738431513286183,random,1,10
0,100,10,0.44877,4.2521617840427215,full,1,10
0,100,10,0.39399999999999996,4.087602063822317,unaware,1,10
0,100,10,0.05353000000000001,3.1497172186735782,ours,1,10
0,100,10,0.0,-0.7176934649497068,random,1,11
0,100,10,0.50612,4.298070016975544,full,1,11
0,100,10,0.34141,4.022735747075109,unaware,1,11
0,100,10,0.13967999999999997,2.233302082682593,ours,1,11
0,100,10,0.0,-0.8322513589189345,random,1,12
0,100,10,0.5504100000000001,3.9592833399726968,full,1,12
0,100,10,0.41052999999999995,4.103399864468459,unaware,1,12
0,100,10,0.09906999999999999,2.937030611431044,ours,1,12
0,100,10,0.0,-0.7388491074244563,random,1,13
0,100,10,0.35347000000000006,3.8356969090536603,full,1,13
0,100,10,0.40582,3.7125676586848773,unaware,1,13
0,100,10,0.10830999999999999,3.013197255433054,ours,1,13
0,100,10,0.0,-0.787898475057232,random,1,14
0,100,10,0.52596,4.170409135465781,full,1,14
0,100,10,0.37762,4.02240671201359,unaware,1,14
0,100,10,0.22497000000000003,0.8134155481369943,ours,1,14
0,100,10,0.0,-0.7257540819598882,random,1,15
0,100,10,0.59772,4.210914655171523,full,1,15
0,100,10,0.42698,4.202140772779557,unaware,1,15
0,100,10,0.12517,3.024499266651992,ours,1,15
0,100,10,0.0,-0.5942484588211456,random,1,16
0,100,10,0.26600999999999997,4.282079154887731,full,1,16
0,100,10,0.41033,4.394911679175969,unaware,1,16
0,100,10,0.17831999999999998,-3.2434254958974535,ours,1,16
0,100,10,0.0,-0.7476540195403938,random,1,17
0,100,10,0.72414,4.057452374874701,full,1,17
0,100,10,0.37679,4.080743864973845,unaware,1,17
0,100,10,0.14003,2.6195109972065094,ours,1,17
0,100,10,0.0,-0.8076558285220142,random,1,18
0,100,10,0.33832,4.188586206990031,full,1,18
0,100,10,0.40964999999999996,4.151583142106366,unaware,1,18
0,100,10,0.05939,3.021266535701676,ours,1,18
0,100,10,0.0,-0.7315414376320338,random,1,19
0,100,10,0.36166,4.276395628840496,full,1,19
0,100,10,0.38980000000000004,4.154562935400012,unaware,1,19
0,100,10,0.17418,2.5436130730878546,ours,1,19
0,100,10,0.0,-0.7576106574298019,random,1,20
0,100,10,0.42163000000000006,4.3111665686762,full,1,20
0,100,10,0.37034,4.114962498583312,unaware,1,20
0,100,10,0.22025999999999998,-1.2893137675043356,ours,1,20
0,100,10,0.0,-0.7034481489919568,random,1,21
0,100,10,0.66284,4.162077926468921,full,1,21
0,100,10,0.26946,3.7742961024084662,unaware,1,21
0,100,10,0.0,2.258775785644011,ours,1,21
0,100,10,0.0,-0.7171884669702057,random,1,22
0,100,10,0.7106399999999999,4.203896841484877,full,1,22
0,100,10,0.38744,4.214112754813395,unaware,1,22
0,100,10,0.07769999999999999,3.3375875226968805,ours,1,22
0,100,10,0.0,-0.7731255292196733,random,1,23
0,100,10,0.49058999999999997,4.170275838621494,full,1,23
0,100,10,0.3341,3.9329414400861085,unaware,1,23
0,100,10,0.23298000000000002,2.22533487663682,ours,1,23
0,100,10,0.0,-0.8608657002681528,random,1,24
0,100,10,0.5410200000000001,4.194013116999232,full,1,24
