,N,T,cf,reward,method,zcoef,seed
0,100,10,0.0,-0.7257628854671415,random,1,1
0,100,10,0.54665,4.190200224335604,full,1,1
0,100,10,0.28925999999999996,3.860857475741066,unaware,1,1
0,100,10,0.0,2.2775230303943452,ours,1,1
0,100,10,0.0,-0.6377256411933895,random,1,2
0,100,10,0.7087100000000001,4.285720872649892,full,1,2
0,100,10,0.30776,4.043478768042224,unaware,1,2
0,100,10,0.0020399999999999997,-1.1405399489252384,ours,1,2
0,200,10,0.0,-0.7257628854671415,random,1,1
0,200,10,0.51271,4.355156135632886,full,1,1
0,200,10,0.46236,4.342645974229352,unaware,1,1
0,200,10,0.057429999999999995,3.3695898688462833,ours,1,1
0,200,10,0.0,-0.6377256411933895,random,1,2
0,200,10,0.35783,4.415304298870332,full,1,2
0,200,10,0.39774000000000004,4.31974929227296,unaware,1,2
0,200,10,0.05458,3.5294910177168486,ours,1,2
0,500,10,0.0,-0.7257628854671415,random,1,1
0,500,10,0.44847000000000004,4.341958913388145,full,1,1
0,500,10,0.39324000000000003,4.193888798609287,unaware,1,1
0,500,10,0.05071,3.328979277862705,ours,1,1
0,500,10,0.0,-0.6377256411933895,random,1,2
0,500,10,0.46955,4.472542650053769,full,1,2
0,500,10,0.40861000000000003,4.346704051884901,unaware,1,2
0,500,10,0.04306,3.4700169727667376,ours,1,2
0,1000,10,0.0,-0.7257628854671415,random,1,1
0,1000,10,0.52356,4.343513103585871,full,1,1
0,1000,10,0.38731000000000004,4.17711790778103,unaware,1,1
0,1000,10,0.029779999999999994,3.3427259546742687,ours,1,1
0,1000,10,0.0,-0.6377256411933895,random,1,2
0,1000,10,0.48760000000000003,4.466248003496053,full,1,2
0,1000,10,0.3948,4.313105160230607,unaware,1,2
0,1000,10,0.030969999999999998,3.454468043089891,ours,1,2
0,2000,10,0.0,-0.7257628854671415,random,1,1
0,2000,10,0.52281,4.352020403502092,full,1,1
0,2000,10,0.41979000000000005,4.261033276369236,unaware,1,1
0,2000,10,0.03474000000000001,3.3991119407451182,ours,1,1
0,2000,10,0.0,-0.6377256411933895,random,1,2
0,2000,10,0.50453,4.464652952623357,full,1,2
0,2000,10,0.40108,4.328819150768167,unaware,1,2
0,2000,10,0.032630000000000006,3.5749715859680364,ours,1,2
