,N,T,cf,reward,method,zcoef,seed
0,100,10,0.0,-2.510866853507774,random,0.0,1
0,100,10,0.34189,0.5947902672970778,full,0.0,1
0,100,10,0.0,0.9334232205340092,unaware,0.0,1
0,100,10,0.06689999999999999,0.7724651083517553,ours,0.0,1
0,100,10,0.0,-2.4183663227185694,random,0.0,2
0,100,10,0.22418000000000005,0.4540585672307923,full,0.0,2
0,100,10,0.0,0.8656198670865867,unaware,0.0,2
0,100,10,0.0,-0.41834713523257316,ours,0.0,2
0,100,10,0.0,-2.594510017169292,random,0.0,3
0,100,10,0.14443999999999999,0.7574960567743776,full,0.0,3
0,100,10,0.0,0.4626820624476024,unaware,0.0,3
0,100,10,0.23136,-0.2808110530223117,ours,0.0,3
0,100,10,0.0,-2.4318076724075604,random,0.0,4
0,100,10,0.07333,1.0028801685970352,full,0.0,4
0,100,10,0.0,0.9582591098906247,unaware,0.0,4
0,100,10,0.25961,0.1286566358755111,ours,0.0,4
0,100,10,0.0,-2.4454573475213395,random,0.0,5
0,100,10,0.41988000000000003,-0.06749945357126134,full,0.0,5
0,100,10,0.0,0.91586589780817,unaware,0.0,5
0,100,10,0.28914,-0.2314010524544014,ours,0.0,5
0,100,10,0.0,-2.5896824886182825,random,0.0,6
0,100,10,0.17657,0.540898561266912,full,0.0,6
0,100,10,0.0,0.53498888078999,unaware,0.0,6
0,100,10,0.05023999999999999,-1.2195305994784742,ours,0.0,6
0,100,10,0.0,-2.551422045099753,random,0.0,7
0,100,10,0.26842000000000005,0.6269987560307952,full,0.0,7
0,100,10,0.0,0.8702808388234164,unaware,0.0,7
0,100,10,0.07682999999999998,0.8808203706518741,ours,0.0,7
0,100,10,0.0,-2.5146383227904385,random,0.0,8
0,100,10,0.21355,-0.12881500528515802,full,0.0,8
0,100,10,0.0,0.6170467204849214,unaware,0.0,8
0,100,10,0.26313,0.24753264809511152,ours,0.0,8
0,100,10,0.0,-2.5494507766046577,random,0.0,9
0,100,10,0.20775000000000002,0.41959305207855535,full,0.0,9
0,100,10,0.0,0.8732569090576782,unaware,0.0,9
0,100,10,0.25673999999999997,0.05403481279471589,ours,0.0,9
0,100,10,0.0,-2.4640706137967054,random,0.0,10
0,100,10,0.03727,0.8163767843443184,full,0.0,10
0,100,10,0.0,0.8267389267037399,unaware,0.0,10
0,100,10,0.07798,0.8510038775258952,ours,0.0,10
0,100,10,0.0,-2.4753999863704403,random,0.0,11
0,100,10,0.24131,0.6211249397212345,full,0.0,11
0,100,10,0.0,0.9593145685146636,unaware,0.0,11
0,100,10,0.0,-0.5387432759686279,ours,0.0,11
0,100,10,0.0,-2.5526791515691944,random,0.0,12
0,100,10,0.19419000000000003,0.11821376273561642,full,0.0,12
0,100,10,0.0,0.7380504586255442,unaware,0.0,12
0,100,10,0.16432,0.7421370700658583,ours,0.0,12
0,100,10,0.0,-2.534020055727393,random,0.0,13
0,100,10,0.35891999999999996,0.14545431260977298,full,0.0,13
0,100,10,0.0,0.6502120640630432,unaware,0.0,13
0,100,10,0.33958999999999995,-0.38480811751084165,ours,0.0,13
0,100,10,0.0,-2.4833705409759332,random,0.0,14
0,100,10,0.08427,0.8946858527068264,full,0.0,14
0,100,10,0.0,0.9108555105582525,unaware,0.0,14
0,100,10,0.05438,0.6928604186918373,ours,0.0,14
0,100,10,0.0,-2.4469681236068865,random,0.0,15
0,100,10,0.15354,0.8932652552276465,full,0.0,15
0,100,10,0.0,1.0133753680553819,unaware,0.0,15
0,100,10,0.30036,0.09212737563664039,ours,0.0,15
0,100,10,0.0,-2.4685648686704207,random,0.0,16
0,100,10,0.99738,-1.908864925436199,full,0.0,16
0,100,10,0.0,0.9817204662560598,unaware,0.0,16
0,100,10,0.16561,0.6196659159748519,ours,0.0,16
0,100,10,0.0,-2.493969073616866,random,0.0,17
0,100,10,0.24910000000000004,0.48352342734841247,full,0.0,17
0,100,10,0.0,0.8284508224284206,unaware,0.0,17
0,100,10,0.10593,0.34093824432842174,ours,0.0,17
0,100,10,0.0,-2.563632678007519,random,0.0,18
0,100,10,0.20524,0.6698964636624478,full,0.0,18
0,100,10,0.0,0.7122362601985788,unaware,0.0,18
0,100,10,0.17233,0.4501903636543147,ours,0.0,18
0,100,10,0.0,-2.485916605921944,random,0.0,19
0,100,10,0.18954000000000001,0.6445438605720928,full,0.0,19
0,100,10,0.0,0.9185168411619059,unaware,0.0,19
0,100,10,0.0,-3.227556242240173,ours,0.0,19
0,100,10,0.0,-2.5240419532601264,random,0.0,20
0,100,10,0.13347,0.5414034594413194,full,0.0,20
0,100,10,0.0,0.9374272628250833,unaware,0.0,20
0,100,10,0.14342,0.4843098484615274,ours,0.0,20
0,100,10,0.0,-2.4664301561610786,random,0.0,21
0,100,10,0.12893000000000002,0.6487194788836902,full,0.0,21
0,100,10,0.0,0.9940584426031286,unaware,0.0,21
0,100,10,0.08821,0.20752854434149054,ours,0.0,21
0,100,10,0.0,-2.492183769467072,random,0.0,22
0,100,10,0.11012,0.8852228791011828,full,0.0,22
0,100,10,0.0,0.7363976479004972,unaware,0.0,22
0,100,10,0.05858,0.9000738912510103,ours,0.0,22
0,100,10,0.0,-2.5073267924126403,random,0.0,23
0,100,10,0.20772,0.7115925709838564,full,0.0,23
0,100,10,0.0,0.9542255007214824,unaware,0.0,23
0,100,10,0.31432000000000004,-0.7938165170496652,ours,0.0,23
0,100,10,0.0,-2.5642919063564777,random,0.0,24
0,100,10,0.20509999999999998,0.6709754417125896,full,0.0,24
0,100,10,0.0,0.8015632720548129,unaware,0.0,24
0,100,10,0.12836,0.5709385592819186,ours,0.0,24
0,100,10,0.0,-2.5006966451013932,random,0.0,25
