,N,T,cf,reward,method,zcoef,seed
0,100,10,0.0,-2.510866853507774,random,0.0,1
0,100,10,0.36717,0.37115846021687715,full,0.0,1
0,100,10,0.0,0.9345265016866188,unaware,0.0,1
0,100,10,0.12764999999999999,0.7531356916138082,ours,0.0,1
0,100,10,0.0,-2.4183663227185694,random,0.0,2
0,100,10,0.23148999999999997,0.3211197658313659,full,0.0,2
0,100,10,0.0,0.8238254254365389,unaware,0.0,2
0,100,10,0.20002,0.08440925173894179,ours,0.0,2
0,100,10,0.0,-2.024897728830103,random,0.5,1
0,100,10,0.23038999999999996,0.8335547711271025,full,0.5,1
0,100,10,0.19949,1.4860031456281606,unaware,0.5,1
0,100,10,0.0,-0.08112262588031903,ours,0.5,1
0,100,10,0.0,-1.9333641192711795,random,0.5,2
0,100,10,0.49379999999999996,1.0942574703740524,full,0.5,2
0,100,10,0.24763000000000002,1.8303117829615136,unaware,0.5,2
0,100,10,0.142,1.6533595222830129,ours,0.5,2
0,100,10,0.0,-0.7257628854671415,random,1.0,1
0,100,10,0.54665,4.190200224335604,full,1.0,1
0,100,10,0.28925999999999996,3.860857475741066,unaware,1.0,1
0,100,10,0.0,2.2775230303943452,ours,1.0,1
0,100,10,0.0,-0.6377256411933895,random,1.0,2
0,100,10,0.7087100000000001,4.285720872649892,full,1.0,2
0,100,10,0.30776,4.043478768042224,unaware,1.0,2
0,100,10,0.0020399999999999997,-1.1405399489252384,ours,1.0,2
0,100,10,0.0,1.674040503249401,random,1.5,1
0,100,10,0.7565299999999999,9.642069609205107,full,1.5,1
0,100,10,0.5069099999999999,9.511169040122617,unaware,1.5,1
0,100,10,0.0,7.1973338567674014,ours,1.5,1
0,100,10,0.0,1.7542006412077005,random,1.5,2
0,100,10,0.7786299999999999,9.695216371021253,full,1.5,2
0,100,10,0.5723600000000001,9.699727712380739,unaware,1.5,2
0,100,10,0.0049099999999999994,7.358057171247801,ours,1.5,2
0,100,10,0.0,5.6398613344720925,random,2.0,1
0,100,10,0.77107,18.74009071875574,full,2.0,1
0,100,10,0.6843199999999999,18.780904486999802,unaware,2.0,1
0,100,10,0.01738,15.69707253179455,ours,2.0,1
0,100,10,0.0,5.704943040113345,random,2.0,2
0,100,10,0.83439,18.788077281263106,full,2.0,2
0,100,10,0.62964,18.69640039309121,unaware,2.0,2
0,100,10,0.00058,15.81738879925955,ours,2.0,2
